,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
0,"2 BHK Apartment in MVV And MK MVV & MK ParkKurmannapalem, Visakhapatnam",MVV MK Housing,"Kurmannapalem, Visakhapatnam",1050 ,"2,999 / sq ft", 31.48 L,Under Construction,Possession by Jul 20232 BathroomsNew ,Yes
1,"3 BHK Apartment in Ramky One KrystalSheela Nagar, Visakhapatnam",Ramky Estates Farms Ltd,"Sheela Nagar, Visakhapatnam",1495 ,"4,749 / sq ft", 70.99 L,Under Construction,Possession by Nov 2023New ,Yes
2,"2 BHK Apartment in Srivira Chakri MeadowsPendurthi, Visakhapatnam",Srivira Infra Private Limited,"Pendurthi, Visakhapatnam",1375 ,"3,400 / sq ft", 46.75 L,Under Construction,Possession by May 2023New ,Yes
3,"3 BHK Apartment in Apex CelestGajuwaka, Visakhapatnam",Apex Meadows Private Limited,"Gajuwaka, Visakhapatnam",1271 ,"6,573 / sq ft", 83.55 L,Under Construction,Possession by Mar 2024New ,Yes
4,"2 BHK Apartment in MVV And MK MVV & MK ParkKurmannapalem, Visakhapatnam",MVV MK Housing,"Kurmannapalem, Visakhapatnam",895 ,"2,999 / sq ft", 26.84 L,Under Construction,Possession by Jul 20232 BathroomsNew ,Yes
5,"3 BHK Apartment in Ramky One KrystalSheela Nagar, Visakhapatnam",Ramky Estates Farms Ltd,"Sheela Nagar, Visakhapatnam",1600 ,"4,749 / sq ft", 75.98 L,Under Construction,Possession by Nov 20233 BathroomsNew ,Yes
6,"2 BHK Apartment in Srivira Chakri MeadowsPendurthi, Visakhapatnam",Srivira Infra Private Limited,"Pendurthi, Visakhapatnam",1040 ,"3,400 / sq ft", 35.36 L,Under Construction,Possession by May 2023New ,Yes
7,"3 BHK Apartment in Apex CelestGajuwaka, Visakhapatnam",Apex Meadows Private Limited,"Gajuwaka, Visakhapatnam",1380 ,"7,173 / sq ft", 99 L,Under Construction,Possession by Mar 2024New ,Yes
8,"2 BHK Apartment in Ramky One KrystalSheela Nagar, Visakhapatnam",Ramky Estates Farms Ltd,"Sheela Nagar, Visakhapatnam",1165 ,"4,749 / sq ft", 55.32 L,Under Construction,Possession by Nov 20232 BathroomsNew ,Yes
9,"2 BHK Apartment in Srivira Chakri MeadowsPendurthi, Visakhapatnam",Srivira Infra Private Limited,"Pendurthi, Visakhapatnam",970 ,"3,400 / sq ft", 32.98 L,Under Construction,Possession by May 2023New ,Yes
10,"2 BHK Apartment in Apex CelestGajuwaka, Visakhapatnam",Apex Meadows Private Limited,"Gajuwaka, Visakhapatnam",1064 ,"6,748 / sq ft", 71.8 L,Under Construction,Possession by Mar 2024New ,Yes
11,"6 BHK Independent HouseGajuwaka, Visakhapatnam",seller,"Gajuwaka, Visakhapatnam",3000 ,"5,000 / sq ft", 1.5 Cr,Ready to move,6 - 7 years old6 BathroomsResale ,No
12,"3 BHK VillaAnandapuram, Visakhapatnam",seller,"Anandapuram, Visakhapatnam",1600 ,"3,062 / sq ft", 49 L,Ready to move,Resale ,No
13,"3 BHK ApartmentSeethammadhara, Visakhapatnam",seller,"Seethammadhara, Visakhapatnam",1600 ,"7,875 / sq ft", 1.26 Cr,Ready to move,2 BathroomsResale NorthEast facing,No
14,"3 BHK ApartmentDuvvada, Visakhapatnam",seller,"Duvvada, Visakhapatnam",1400 ,"3,571 / sq ft", 50 L,Ready to move,5 - 6 years oldResale ,No
15,"3 BHK Apartment in Chaganti Sri Padmavat SreenivasamTagarapuvalasa, Visakhapatnam",seller,"Tagarapuvalasa, Visakhapatnam",1500 ,"3,793 / sq ft", 56.9 L,Ready to move,2 BathroomsResale ,No
16,"Residential PlotTagarapuvalasa, Visakhapatnam",seller,"Tagarapuvalasa, Visakhapatnam",1800 ,"1,833 / sq ft", 33 L,Resale,East facing,No
17,"3 BHK Apartment in Vasanth Vihar MadhurwadaMadhurawada, Visakhapatnam",seller,"Madhurawada, Visakhapatnam",1450 ,"4,206 / sq ft", 61 L,Under Construction,3 BathroomsResale ,Yes
18,"2 BHK ApartmentAkkayyapalem, Visakhapatnam",seller,"Akkayyapalem, Visakhapatnam",1027 ,"7,692 / sq ft", 79 L,Ready to move,5 - 6 years old2 BathroomsResale ,No
19,"3 BHK Apartment in Utkarsha AbodesMadhurawada, Visakhapatnam",seller,"Madhurawada, Visakhapatnam",1608 ,"5,286 / sq ft", 85 L,Ready to move,4 - 5 years old3 BathroomsResale ,No
20,"2 BHK Independent HouseTagarapuvalasa, Visakhapatnam",seller,"Tagarapuvalasa, Visakhapatnam",1000 ,"7,400 / sq ft", 74 L,Under Construction,2 BathroomsResale NorthWest facing,No
21,"2 BHK ApartmentSheela Nagar, Visakhapatnam",seller,"Sheela Nagar, Visakhapatnam",1090 ,"3,302 / sq ft", 36 L,Under Construction,2 BathroomsResale NorthEast facing,No
22,"4 BHK Apartment in Abhilash Yaksha SquareUppada, Visakhapatnam",seller,"Uppada, Visakhapatnam",6000 ,"1,583 / sq ft", 95 L,Under Construction,Possession by Aug 20223 BathroomsResale ,Yes
23,"3 BHK Independent FloorRushikonda, Visakhapatnam",seller,"Rushikonda, Visakhapatnam",3200 ,"6,250 / sq ft", 2 Cr,Under Construction,4 BathroomsResale ,No
24,"7 BHK Independent HouseGajuwaka, Visakhapatnam",seller,"Gajuwaka, Visakhapatnam",2658 ,"7,336 / sq ft", 1.95 Cr,Ready to move,6 - 7 years old5 BathroomsResale ,No
25,"2 BHK Apartment in Novus Florence Village Phase ll Block JGajuwaka, Visakhapatnam",seller,"Gajuwaka, Visakhapatnam",1171 ,"3,300 / sq ft", 38.64 L,Ready to move,0 - 1 year old2 BathroomsResale ,No
26,"2 BHK ApartmentAkkayyapalem, Visakhapatnam",seller,"Akkayyapalem, Visakhapatnam",895 ,"5,810 / sq ft", 52 L,Ready to move,5 - 6 years old2 BathroomsResale ,No
27,"Residential PlotAnandapuram, Visakhapatnam",seller,"Anandapuram, Visakhapatnam",1800 ,"2,666 / sq ft", 48 L,Resale,,No
28,"Residential PlotAtchutapuram, Visakhapatnam",seller,"Atchutapuram, Visakhapatnam",900 ,"1,777 / sq ft", 16 L,Resale,1 open sidesEast facing,No
29,"Residential PlotKothavalasa, Visakhapatnam",seller,"Kothavalasa, Visakhapatnam",1800 ,888 / sq ft, 16 L,Resale,4 open sidesNorth facing,No
30,"Residential Plot in Bhoomatha ANR RoyaleTagarapuvalasa, Visakhapatnam",seller,"Tagarapuvalasa, Visakhapatnam",1800 ,"2,888 / sq ft", 52 L,Resale,3 open sidesSouth facing,Yes
31,"Residential Plot in Bhoomatha Srinivasa ResidencyBheemunipatnam, Visakhapatnam",seller,"Bheemunipatnam, Visakhapatnam",1800 ,"1,388 / sq ft", 25 L,Resale,,Yes
32,"Residential PlotBheemunipatnam, Visakhapatnam",seller,"Bheemunipatnam, Visakhapatnam",8388 ,"1,500 / sq ft", 1.25 Cr,Resale,,No
33,"2 BHK ApartmentBheemunipatnam, Visakhapatnam",Yasarapu Srinivasu,"Bheemunipatnam, Visakhapatnam",960 ,"3,802 / sq ft", 36.5 L,Under Construction,2 BathroomsNew West facing,No
34,"3 BHK ApartmentKurmannapalem, Visakhapatnam",Honeyy constructions,"Kurmannapalem, Visakhapatnam",1500 ,"3,533 / sq ft", 53 L,Ready to move,2 BathroomsNew North facing,No
35,"Residential PlotSontyam, Visakhapatnam",sankar,"Sontyam, Visakhapatnam",1800 ,"2,444 / sq ft", 44 L,New,3 - 4 years old5 open sidesEast facing,No
36,"2 BHK ApartmentMaddilapalem, Visakhapatnam",Preethi Properties,"Maddilapalem, Visakhapatnam",900 ,"5,444 / sq ft", 49 L,Ready to move,2 BathroomsResale West facing,No
37,"Residential Plot in Srika Green Hill ViewSontyam, Visakhapatnam",Akshitha Projects,"Sontyam, Visakhapatnam",2160 ,"1,333 / sq ft", 28.8 L,New,2 - 3 years old,No
38,"Residential Plot in Sun Ray VillageModavalasa, Visakhapatnam",Inspacial Real Estate,"Modavalasa, Visakhapatnam",3699 ,"6,111 / sq ft", 2.26 Cr,Resale,10 years old2 open sidesNorth facing,No
39,"2 BHK Apartment in Balaji EmeraldMadhurawada, Visakhapatnam",SAHOO GROUP,"Madhurawada, Visakhapatnam",837 ,"7,855 / sq ft", 65.75 L,Under Construction,2 BathroomsNew ,Yes
40,"1 BHK Apartment in Vaishno HeightsSimhachalam, Visakhapatnam",Keystone Realty,"Simhachalam, Visakhapatnam",594 ,"15,993 / sq ft", 95 L,Under Construction,2 BathroomsNew North facing,Yes
41,"3 BHK Apartment in Swathi Garden Green ApartmentMadhurawada, Visakhapatnam",Swathi Promoters P Ltd,"Madhurawada, Visakhapatnam",1400 ,"4,999 / sq ft", 69.98 L,Under Construction,Possession by Jul 20223 BathroomsNew ,Yes
42,"3 BHK Independent FloorMaddilapalem, Visakhapatnam",seller,"Maddilapalem, Visakhapatnam",1350 ,"5,185 / sq ft", 70 L,Ready to move,3 BathroomsResale ,No
43,"3 BHK ApartmentMadhurawada, Visakhapatnam",seller,"Madhurawada, Visakhapatnam",1800 ,"4,500 / sq ft", 81 L,Ready to move,3 BathroomsResale ,No
44,"2 BHK Apartment in MVV And MK MVV & MK ParkKurmannapalem, Visakhapatnam",Rahul Goyal,"Kurmannapalem, Visakhapatnam",1050 ,"2,999 / sq ft", 31.48 L,Under Construction,Possession by Jul 20232 BathroomsNew ,Yes
45,"Residential PlotAnandapuram, Visakhapatnam",4closure,"Anandapuram, Visakhapatnam",2178 ,"2,800 / sq ft", 61 L,Resale,,No
46,"3 BHK VillaDuvvada, Visakhapatnam",RAMA KRISHNA D,"Duvvada, Visakhapatnam",1950 ,"3,333 / sq ft", 65 L,Under Construction,3 BathroomsNew East facing,No
47,"2 BHK ApartmentVishalakshi Nagar, Visakhapatnam",Yasarapu Srinivasu,"Vishalakshi Nagar, Visakhapatnam",1100 ,"7,000 / sq ft", 77 L,Under Construction,2 BathroomsNew North facing,No
48,"2 BHK Apartment in MVV And MK MVV & MK ParkKurmannapalem, Visakhapatnam",Rahul Goyal,"Kurmannapalem, Visakhapatnam",895 ,"2,999 / sq ft", 26.84 L,Under Construction,Possession by Jul 20232 BathroomsNew ,Yes
49,"Residential PlotGopalapatnam, Visakhapatnam",4closure,"Gopalapatnam, Visakhapatnam",1463 ,"4,716 / sq ft", 69 L,Resale,5 - 6 years old,No
50,"4 BHK Apartment in Aditya Ocean HeightsRushikonda, Visakhapatnam",Preethi Properties,"Rushikonda, Visakhapatnam",2200 ,"5,454 / sq ft", 1.2 Cr,Ready to move,7 - 8 years old3 BathroomsResale ,No
51,"3 BHK ApartmentGajuwaka, Visakhapatnam",Honeyy constructions,"Gajuwaka, Visakhapatnam",1500 ,"3,866 / sq ft", 58 L,Ready to move,6 - 7 years old2 BathroomsNew ,No
52,"Residential PlotAnandapuram, Visakhapatnam",sankar,"Anandapuram, Visakhapatnam",2403 ,"2,222 / sq ft", 53.4 L,New,1 open sidesEast facing,No
53,"5 BHK VillaAnandapuram, Visakhapatnam",seller,"Anandapuram, Visakhapatnam",4500 ,"3,222 / sq ft", 1.45 Cr,Under Construction,4 BathroomsResale East facing,No
54,"2 BHK ApartmentGajuwaka, Visakhapatnam",seller,"Gajuwaka, Visakhapatnam",1000 ,"2,100 / sq ft", 21 L,Ready to move,6 - 7 years old2 BathroomsResale ,No
55,"2 BHK Apartment in Apex CelestGajuwaka, Visakhapatnam",Apex Meadows Private Limited,"Gajuwaka, Visakhapatnam",1136 ,"6,568 / sq ft", 74.62 L,Under Construction,Possession by Mar 2024New ,Yes
56,"2 BHK Apartment in Srivira Chakri MeadowsPendurthi, Visakhapatnam",Srivira Infra Private Limited,"Pendurthi, Visakhapatnam",865 ,"3,400 / sq ft", 29.41 L,Under Construction,Possession by May 2023New ,Yes
57,"2 BHK ApartmentSheela Nagar, Visakhapatnam",Yasarapu Srinivasu,"Sheela Nagar, Visakhapatnam",1000 ,"3,200 / sq ft", 32 L,Under Construction,2 BathroomsNew ,No
58,"Residential Plot in Srika Green Hill ViewSontyam, Visakhapatnam",Akshitha Projects,"Sontyam, Visakhapatnam",1440 ,"1,333 / sq ft", 19.2 L,New,2 - 3 years old,No
59,"Residential PlotTagarapuvalasa, Visakhapatnam",Harish,"Tagarapuvalasa, Visakhapatnam",1539 ,"2,555 / sq ft", 39.33 L,New,,No
60,"3 BHK Apartment in Apex CelestGajuwaka, Visakhapatnam",Rahul Goyal,"Gajuwaka, Visakhapatnam",1271 ,"6,573 / sq ft", 83.55 L,Under Construction,Possession by Mar 2024New ,Yes
61,"3 BHK Apartment in Sagara The AddressMadhurawada, Visakhapatnam",Preethi Properties,"Madhurawada, Visakhapatnam",1600 ,"4,500 / sq ft", 72 L,Ready to move,1 - 2 years old3 BathroomsResale ,No
62,"2 BHK ApartmentAganampudi, Visakhapatnam",Honeyy constructions,"Aganampudi, Visakhapatnam",1050 ,"3,238 / sq ft", 34 L,Ready to move,5 - 6 years old2 BathroomsNew ,No
63,"4 BHK Independent FloorRushikonda, Visakhapatnam",seller,"Rushikonda, Visakhapatnam",3200 ,"8,750 / sq ft", 2.8 Cr,Under Construction,4 BathroomsResale ,No
64,"Residential PlotAnandapuram, Visakhapatnam",seller,"Anandapuram, Visakhapatnam",1503 ,"1,333 / sq ft", 20.03 L,Resale,,No
65,"Residential PlotTagarapuvalasa, Visakhapatnam",seller,"Tagarapuvalasa, Visakhapatnam",2400 ,"2,083 / sq ft", 49.99 L,Resale,5 open sidesNorth facing,No
66,"Residential PlotTagarapuvalasa, Visakhapatnam",seller,"Tagarapuvalasa, Visakhapatnam",1800 ,"1,444 / sq ft", 26 L,Resale,1 open sidesEast facing,No
67,"1 RK Studio ApartmentMadhurawada, Visakhapatnam",4closure,"Madhurawada, Visakhapatnam",960 ,"2,600 / sq ft", 24.96 L,Ready to move,1 BathroomsResale ,No
68,"Residential Plot in Bhoomatha Thalluri TownshipTagarapuvalasa, Visakhapatnam",sankar,"Tagarapuvalasa, Visakhapatnam",1800 ,"3,111 / sq ft", 56 L,New,2 - 3 years old2 open sidesNorth facing,No
69,"3 BHK ApartmentKurmannapalem, Visakhapatnam",seller,"Kurmannapalem, Visakhapatnam",930 ,"3,172 / sq ft", 29.5 L,Ready to move,2 BathroomsResale East facing,No
70,"2 BHK Apartment in Srinivasa SrinivasamGajuwaka, Visakhapatnam",Yasarapu Srinivasu,"Gajuwaka, Visakhapatnam",1140 ,"7,192 / sq ft", 82 L,Under Construction,Possession by Nov 20222 BathroomsNew ,Yes
71,"3 BHK Apartment in Ramky One KrystalSheela Nagar, Visakhapatnam",Rahul Goyal,"Sheela Nagar, Visakhapatnam",1495 ,"4,749 / sq ft", 70.99 L,Under Construction,Possession by Nov 2023New ,Yes
72,"Residential Plot in Srika Green Hill ViewSontyam, Visakhapatnam",Akshitha Projects,"Sontyam, Visakhapatnam",1800 ,"1,333 / sq ft", 24 L,New,2 - 3 years old,No
73,"Residential PlotTagarapuvalasa, Visakhapatnam",Harish,"Tagarapuvalasa, Visakhapatnam",166 ,"23,000 / sq ft", 38.18 L,New,,No
74,"3 BHK ApartmentPedda Waltair, Visakhapatnam",Preethi Properties,"Pedda Waltair, Visakhapatnam",2300 ,"8,260 / sq ft", 1.9 Cr,Under Construction,3 BathroomsNew ,No
75,"3 BHK ApartmentKurmannapalem, Visakhapatnam",Honeyy constructions,"Kurmannapalem, Visakhapatnam",1435 ,"3,310 / sq ft", 47.5 L,Ready to move,2 BathroomsNew South facing,No
76,"Residential Plot in Peram Aditya RoyalDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",1000 ,900 / sq ft, 9 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
77,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",vsp realtors 2,"Tagarapuvalasa, Visakhapatnam",2403 ,"1,888 / sq ft", 45.39 L,Resale,Possession by Dec 18993 open sides 1 L booking amount,No
78,"Residential PlotTagarapuvalasa, Visakhapatnam",sankar,"Tagarapuvalasa, Visakhapatnam",1800 ,"2,000 / sq ft", 36 L,New,East facing,No
79,"2 BHK Apartmentbakkanapalem, Visakhapatnam",Chintham Maneesha,"bakkanapalem, Visakhapatnam",1025 ,"3,343 / sq ft", 34.27 L,Ready to move,2 - 3 years old2 Bathrooms2nd of 4floor,No
80,"Residential Plot in peram aditya anadithaAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",4995 ,800 / sq ft, 40 L,New,Possession by Dec 18991 open sides 3 L booking amount,No
81,"3 BHK Apartment in Sreenivasam KurmanapallemKurmannapalem, Visakhapatnam",sunil,"Kurmannapalem, Visakhapatnam",1500 ,"3,666 / sq ft", 55 L,Ready to move,1 year old2 Bathrooms3rd of 5floor,No
82,"3 BHK Apartment in sai signatureAganampudi, Visakhapatnam",madhu,"Aganampudi, Visakhapatnam",1500 ,"3,666 / sq ft", 55 L,Ready to move,1 year old2 Bathrooms3rd of 5floor,No
83,"2 BHK Apartment in Honey sreenivasam 97Lankelapalem, Visakhapatnam",honeyy group,"Lankelapalem, Visakhapatnam",1030 ,"2,718 / sq ft", 28 L,Under Construction,Possession by Jun 20242 Bathrooms3rd of 5floor,No
84,"2 BHK Apartment in Sai Saipriya GardensMadhurawada, Visakhapatnam",krishna veni,"Madhurawada, Visakhapatnam",1330 ,"1,804 / sq ft", 24 L,Under Construction,2 Bathrooms2nd of 5floorNew ,Yes
85,"3 BHK Apartment in Nehru NivasSriharipuram, Visakhapatnam",Manideep kumar,"Sriharipuram, Visakhapatnam",1500 ,"4,000 / sq ft", 60 L,Ready to move,1 year old2 Bathrooms1st of 5floor,No
86,"2 BHK Apartment in SAI AQUAKurmannapalem, Visakhapatnam",MATTA RAMASWAMY,"Kurmannapalem, Visakhapatnam",1140 ,"3,333 / sq ft", 38 L,Ready to move,1 year old2 Bathrooms1st of 5floor,No
87,"2 BHK Apartment in SLPRAMEELAPLAZASriharipuram, Visakhapatnam",UMA SHANKER,"Sriharipuram, Visakhapatnam",1100 ,"3,863 / sq ft", 42.5 L,Ready to move,1 year old2 Bathrooms1st of 4floor,No
88,"3 BHK Apartment in Sardar NestGajuwaka, Visakhapatnam",FORTUNE PROPERTIES,"Gajuwaka, Visakhapatnam",1350 ,"3,400 / sq ft", 45.9 L,Ready to move,1 year old2 Bathrooms1st of 5floor,No
89,"2 BHK Apartment in Yamini EnclavePendurthi, Visakhapatnam",vanaja,"Pendurthi, Visakhapatnam",1140 ,"3,508 / sq ft", 40 L,Ready to move,2 Bathrooms2nd of 5floorNew ,No
90,"3 BHK Apartment in Sri Sai Parvathi ResidencyPothinamallayya Palem, Visakhapatnam",lalitha,"Pothinamallayya Palem, Visakhapatnam",1250 ,"4,760 / sq ft", 59.5 L,Under Construction,Possession by Nov 20222 Bathrooms1st of 5floor,Yes
91,"2 BHK Apartment in Lakshmi residency zoGajuwaka, Visakhapatnam",Venkata Sai Charan,"Gajuwaka, Visakhapatnam",930 ,"3,225 / sq ft", 30 L,Ready to move,1 year old2 Bathrooms2nd of 3floor,No
92,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",Nagaraju,"Achutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Jul 20232 Bathrooms5th of 5floor,Yes
93,"2 BHK Apartment in Honeyy SreenivasamAchutapuram, Visakhapatnam",N Anand,"Achutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Aug 20232 Bathrooms3rd of 5floor,Yes
94,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",Goutham Reddy,"Achutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Oct 20232 Bathrooms5th of 5floor,Yes
95,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",SATHISH,"Achutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Aug 20222 Bathrooms5th of 5floor,Yes
96,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",Vasu Bhargavi,"Achutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Sep 20232 Bathrooms3rd of 5floor,Yes
97,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",Sahaja,"Achutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Aug 20232 Bathrooms5th of 5floor,Yes
98,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",Bhuvan Sandy,"Achutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Aug 20222 Bathrooms2nd of 5floor,Yes
99,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",Chiranjeevi,"Achutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Sep 20232 Bathrooms3rd of 5floor,Yes
100,"2 BHK ApartmentGajuwaka, Visakhapatnam",Honeyy constructions,"Gajuwaka, Visakhapatnam",830 ,"3,493 / sq ft", 29 L,Under Construction,2 BathroomsNew ,No
101,"2 BHK ApartmentGajuwaka, Visakhapatnam",Honeyy constructions,"Gajuwaka, Visakhapatnam",1040 ,"3,846 / sq ft", 40 L,Ready to move,6 - 7 years old2 BathroomsNew ,No
102,"2 BHK ApartmentAganampudi, Visakhapatnam",Honeyy constructions,"Aganampudi, Visakhapatnam",1090 ,"3,440 / sq ft", 37.5 L,Ready to move,5 - 6 years old2 BathroomsNew ,No
103,"2 BHK ApartmentKurmannapalem, Visakhapatnam",Honeyy constructions,"Kurmannapalem, Visakhapatnam",1025 ,"3,609 / sq ft", 37 L,Under Construction,2 BathroomsNew East facing,No
104,"2 BHK ApartmentGajuwaka, Visakhapatnam",Honeyy constructions,"Gajuwaka, Visakhapatnam",1040 ,"3,461 / sq ft", 36 L,Ready to move,6 - 7 years old2 BathroomsNew ,No
105,"2 BHK ApartmentGajuwaka, Visakhapatnam",Honeyy constructions,"Gajuwaka, Visakhapatnam",830 ,"3,433 / sq ft", 28.5 L,Under Construction,2 BathroomsNew East facing,No
106,"2 BHK ApartmentGajuwaka, Visakhapatnam",Honeyy constructions,"Gajuwaka, Visakhapatnam",1060 ,"3,207 / sq ft", 34 L,Under Construction,2 BathroomsNew East facing,No
107,"2 BHK ApartmentGajuwaka, Visakhapatnam",Honeyy constructions,"Gajuwaka, Visakhapatnam",800 ,"3,250 / sq ft", 26 L,Under Construction,2 BathroomsNew East facing,No
108,"2 BHK ApartmentMadhavadhara, Visakhapatnam",Honeyy constructions,"Madhavadhara, Visakhapatnam",1140 ,"7,263 / sq ft", 82.8 L,Under Construction,2 BathroomsNew North facing,No
109,"3 BHK ApartmentSeethammadhara, Visakhapatnam",Honeyy constructions,"Seethammadhara, Visakhapatnam",1950 ,"8,512 / sq ft", 1.66 Cr,Ready to move,3 BathroomsNew North facing,No
110,"2 BHK Apartment in Srivira Chakri MeadowsPendurthi, Visakhapatnam",Rahul Goyal,"Pendurthi, Visakhapatnam",1375 ,"3,400 / sq ft", 46.75 L,Under Construction,Possession by May 2023New ,Yes
111,"2 BHK Apartment in Srivira Chakri MeadowsPendurthi, Visakhapatnam",Rahul Goyal,"Pendurthi, Visakhapatnam",1040 ,"3,400 / sq ft", 35.36 L,Under Construction,Possession by May 2023New ,Yes
112,"2 BHK Apartment in Srivira Chakri MeadowsPendurthi, Visakhapatnam",Rahul Goyal,"Pendurthi, Visakhapatnam",970 ,"3,400 / sq ft", 32.98 L,Under Construction,Possession by May 2023New ,Yes
113,"2 BHK Apartment in Srivira Chakri MeadowsPendurthi, Visakhapatnam",Rahul Goyal,"Pendurthi, Visakhapatnam",865 ,"3,400 / sq ft", 29.41 L,Under Construction,Possession by May 2023New ,Yes
114,"Residential PlotAtchutapuram, Visakhapatnam",sankar,"Atchutapuram, Visakhapatnam",1800 ,"1,777 / sq ft", 31.99 L,New,2 - 3 years old5 open sidesEast facing,No
115,"3 BHK ApartmentEndada, Visakhapatnam",Preethi Properties,"Endada, Visakhapatnam",2320 ,"6,896 / sq ft", 1.6 Cr,Under Construction,3 BathroomsNew East facing,No
116,"3 BHK ApartmentPaanduranga Puram, Visakhapatnam",Preethi Properties,"Paanduranga Puram, Visakhapatnam",2000 ,"9,750 / sq ft", 1.95 Cr,Ready to move,3 - 4 years old3 BathroomsNew ,No
117,"3 BHK ApartmentPaanduranga Puram, Visakhapatnam",Preethi Properties,"Paanduranga Puram, Visakhapatnam",2000 ,"9,750 / sq ft", 1.95 Cr,Ready to move,3 - 4 years old3 BathroomsNew ,No
118,"3 BHK Apartment in Apex CelestGajuwaka, Visakhapatnam",Rahul Goyal,"Gajuwaka, Visakhapatnam",1380 ,"7,173 / sq ft", 99 L,Under Construction,Possession by Mar 2024New ,Yes
119,"2 BHK Apartment in Apex CelestGajuwaka, Visakhapatnam",Rahul Goyal,"Gajuwaka, Visakhapatnam",1064 ,"6,748 / sq ft", 71.8 L,Under Construction,Possession by Mar 2024New ,Yes
120,"2 BHK Apartment in Apex CelestGajuwaka, Visakhapatnam",Rahul Goyal,"Gajuwaka, Visakhapatnam",1136 ,"6,568 / sq ft", 74.62 L,Under Construction,Possession by Mar 2024New ,Yes
121,"3 BHK Apartment in Ramky One KrystalSheela Nagar, Visakhapatnam",Rahul Goyal,"Sheela Nagar, Visakhapatnam",1600 ,"4,749 / sq ft", 75.98 L,Under Construction,Possession by Nov 20233 BathroomsNew ,Yes
122,"2 BHK Apartment in Ramky One KrystalSheela Nagar, Visakhapatnam",Rahul Goyal,"Sheela Nagar, Visakhapatnam",1165 ,"4,749 / sq ft", 55.32 L,Under Construction,Possession by Nov 20232 BathroomsNew ,Yes
123,"3 BHK Apartment in MK OneEndada, Visakhapatnam",Rahul Goyal,"Endada, Visakhapatnam",2350 ,"7,000 / sq ft", 1.64 Cr,Under Construction,Possession by Nov 2026New ,Yes
124,"3 BHK Apartment in MK OneEndada, Visakhapatnam",Rahul Goyal,"Endada, Visakhapatnam",3030 ,"7,000 / sq ft", 2.12 Cr,Under Construction,Possession by Nov 2026New ,Yes
125,"3 BHK Apartment in MK OneEndada, Visakhapatnam",Rahul Goyal,"Endada, Visakhapatnam",2580 ,"7,000 / sq ft", 1.8 Cr,Under Construction,Possession by Nov 2026New ,Yes
126,"3 BHK Apartment in MK OneEndada, Visakhapatnam",Rahul Goyal,"Endada, Visakhapatnam",3510 ,"7,000 / sq ft", 2.45 Cr,Under Construction,Possession by Nov 2026New ,Yes
127,"Residential PlotMadhurawada, Visakhapatnam",4closure,"Madhurawada, Visakhapatnam",481 ,"6,432 / sq ft", 30.94 L,Resale,,No
128,"Residential Plot in Peram AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",792 ,883 / sq ft, 7 L,New,"Possession by Dec 18991 open sides 50,000 booking amount",No
129,"Residential Plot in Peram AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",1000 ,900 / sq ft, 9 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
130,"Residential Plot in aditya grands 3Bhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",2997 ,"1,101 / sq ft", 33 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
131,"Residential Plot in peram aditya royalGeddapeta, Visakhapatnam",property advisor,"Geddapeta, Visakhapatnam",1791 ,837 / sq ft, 15 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
