,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
2674,"2 BHK Apartment in Utkarsha EmeraldBheemunipatnam, Visakhapatnam",Meena,"Bheemunipatnam, Visakhapatnam",1133 ,"3,200 / sq ft", 36.25 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
2675,"2 BHK Apartment in AVK Cherishma AvenuePothinamallayya Palem, Visakhapatnam",smart homes,"Pothinamallayya Palem, Visakhapatnam",926 ,"4,913 / sq ft", 45.5 L,Under Construction,Possession by Oct 20222 Bathrooms2nd of 5floor,Yes
2676,"2 BHK Apartment in Ss royal fortsMidhilapuri Vuda Colony, Visakhapatnam",smart homes,"Midhilapuri Vuda Colony, Visakhapatnam",1085 ,"5,184 / sq ft", 56.25 L,Ready to move,1 - 2 years old2 Bathrooms3rd of 5floor,No
2677,"2 BHK Apartment in Ganesh ResidencyPendurthi, Visakhapatnam",krishna,"Pendurthi, Visakhapatnam",900 ,"3,888 / sq ft", 35 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
2678,"3 BHK Apartment in Sai parvathi homesPMPalem, Visakhapatnam",parvathi,"PMPalem, Visakhapatnam",1250 ,"4,760 / sq ft", 59.5 L,Under Construction,3 Bathrooms2nd of 5floorNew ,No
2679,"2 BHK Apartment in SreenivasamMadhurawada, Visakhapatnam",NSrinivasa rao,"Madhurawada, Visakhapatnam",1000 ,"3,000 / sq ft", 30 L,Under Construction,Possession by Apr 20232 Bathrooms4th of 5floor,No
2680,"2 BHK Apartment in Sree nivasam atchuthapuramAtchutapuram, Visakhapatnam",Neelu Neelima,"Atchutapuram, Visakhapatnam",1000 ,"2,100 / sq ft", 21 L,Under Construction,Possession by Mar 20242 Bathrooms2nd of 5floor,No
2681,"2 BHK Apartment in Honeyy SreenivasamAchutapuram, Visakhapatnam",vinayanand,"Achutapuram, Visakhapatnam",1000 ,"1,800 / sq ft", 18 L,Under Construction,Possession by Mar 20242 Bathrooms1st of 5floor,Yes
2682,"2 BHK Apartment in Honeyy SreenivasamAchutapuram, Visakhapatnam",padma,"Achutapuram, Visakhapatnam",950 ,"3,473 / sq ft", 33 L,Ready to move,1 - 2 years old2 Bathrooms3rd of 5floor,No
2683,"3 BHK Apartment in KRR Lakshmi Vishnu NivasAganampudi, Visakhapatnam",VNaga Raju,"Aganampudi, Visakhapatnam",1500 ,"3,133 / sq ft", 47 L,Ready to move,1 - 2 years old3 Bathrooms1st of 5floor,No
2684,"2 BHK Apartment in Vishnu sree ResidencyPMPalem, Visakhapatnam",parvathi,"PMPalem, Visakhapatnam",850 ,"4,576 / sq ft", 38.9 L,Under Construction,Possession by Oct 20222 Bathrooms2nd of 5floor,No
2685,"2 BHK Apartment in Avk charismaPMPalem, Visakhapatnam",parvathi,"PMPalem, Visakhapatnam",926 ,"4,915 / sq ft", 45.52 L,Under Construction,2 Bathrooms2nd of 5floorNew ,No
2686,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",venkat,"Achutapuram, Visakhapatnam",1000 ,"2,100 / sq ft", 21 L,Under Construction,Possession by Dec 20222 Bathrooms3rd of 5floor,Yes
